City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Sola,VU,2022-05-08 22:50:55,-13.8833,167.55,80.58,74,61,23.82
123,King City,US,2022-05-08 22:50:55,36.2127,-121.126,61.9,39,5,22.82
124,Abapo,BO,2022-05-08 22:50:56,-18.8333,-63.4667,70.86,56,24,8.7
125,Labytnangi,RU,2022-05-08 22:50:57,66.6572,66.4183,34.54,100,100,6.11
126,Ayagoz,KZ,2022-05-08 22:50:57,47.9714,80.4392,38.53,36,4,17.6
127,Natitingou,BJ,2022-05-08 22:50:58,10.3042,1.3796,76.26,74,84,6.71
128,Yarmouth,US,2022-05-08 22:50:59,41.7057,-70.2286,48.67,65,0,28.99
129,Snasa,NO,2022-05-08 22:50:59,64.2457,12.3778,35.44,93,99,4.29
130,Sioux Lookout,CA,2022-05-08 22:51:00,50.1001,-91.917,44.67,100,100,9.22
131,Bengkulu,ID,2022-05-08 22:49:23,-3.8004,102.2655,76.8,82,89,3.6
132,Hermanus,ZA,2022-05-08 22:51:00,-34.4187,19.2345,58.21,75,98,3.51
133,Saint-Francois,FR,2022-05-08 22:46:09,46.4154,3.9054,55.67,82,0,3.44
134,Zhanakorgan,KZ,2022-05-08 22:51:01,43.9098,67.2495,75.87,32,83,12.33
135,Haines Junction,CA,2022-05-08 22:51:02,60.7522,-137.5108,49.95,34,11,5.75
136,Mackenzie,CA,2022-05-08 22:51:03,55.2999,-123.1698,44.82,65,75,14.97
137,Torbay,CA,2022-05-08 22:52:03,47.6666,-52.7314,40.28,79,20,10.36
138,Vaini,TO,2022-05-08 22:52:04,-21.2,-175.2,78.96,69,20,9.22
139,Kismayo,SO,2022-05-08 22:52:05,-0.3582,42.5454,79.68,86,95,13.11
140,Hay River,CA,2022-05-08 22:52:05,60.8156,-115.7999,28.38,100,100,16.11
141,Port Hardy,CA,2022-05-08 22:52:06,50.6996,-127.4199,51.98,54,40,17.27
142,Toumodi,CI,2022-05-08 22:52:06,6.5613,-5.0158,75.31,93,93,1.86
143,Araouane,ML,2022-05-08 22:52:07,18.9048,-3.5265,82.65,6,0,12.03
144,Chokurdakh,RU,2022-05-08 22:52:07,70.6333,147.9167,18.55,86,69,9.69
145,New Norfolk,AU,2022-05-08 22:52:08,-42.7826,147.0587,45.72,85,32,2.77
146,Lata,PT,2022-05-08 22:52:08,40.1629,-8.3327,57.47,76,12,1.68
147,Cayenne,GF,2022-05-08 22:49:34,4.9333,-52.3333,81.09,1,20,2.3
148,Lincoln,US,2022-05-08 22:50:59,40.8,-96.667,71.56,83,100,6.91
149,Atar,MR,2022-05-08 22:52:10,20.5169,-13.0499,92.37,18,86,8.93
150,Baneh,IR,2022-05-08 22:52:10,35.9975,45.8853,41.22,79,2,3.42
151,Lima,PE,2022-05-08 22:50:19,-12.0432,-77.0282,66.45,57,0,10.36
152,Carutapera,BR,2022-05-08 22:52:11,-1.195,-46.02,74.57,95,99,1.59
153,Urengoy,RU,2022-05-08 22:52:12,65.9667,78.3667,33.55,99,100,12.26
