City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
192,Aksarka,66.5606,67.7975,35.82,100,100,11.7
193,Zhanaozen,43.3,52.8,55.6,76,100,21.99
194,Santa Catarina De Tepehuanes,25.35,-105.7333,62.29,32,100,8.63
195,Pangody,65.85,74.4859,35.28,100,100,11.14
196,Nanortalik,60.1432,-45.2371,36.39,91,100,2.17
197,Kawalu,-7.3817,108.2082,88.68,59,76,2.53
198,Udachnyy,66.4167,112.4,21.45,52,100,19.42
199,Esperance,-33.8667,121.9,70.11,46,0,5.23
200,Goderich,43.7501,-81.7165,50.32,37,99,11.5
201,Ulladulla,-35.35,150.4667,62.76,66,55,8.14
202,Bakel,14.905,-12.4568,93.04,29,88,8.03
203,Cooma,-36.2333,149.1333,59.52,47,1,2.66
204,Tabou,4.423,-7.3528,76.75,89,99,3.58
205,Lewisburg,35.4492,-86.7889,63.39,95,0,0.0
206,Kurchum,48.5722,83.6542,57.97,28,0,15.12
207,Tahe,52.3333,124.7333,77.14,10,58,13.24
208,San Cristobal,7.7669,-72.225,73.58,98,63,2.82
209,Sitka,57.0531,-135.33,49.89,71,0,14.97
210,Katangli,51.7102,143.2326,32.36,100,100,14.74
211,Mount Gambier,-37.8333,140.7667,62.8,43,37,1.68
212,Oussouye,12.485,-16.5469,73.29,72,72,2.89
213,Shingu,33.7333,135.9833,62.83,92,100,4.45
214,Inhambane,-23.865,35.3833,67.98,94,75,0.0
215,Khatanga,71.9667,102.5,18.36,80,33,14.25
216,Barcelos,41.5388,-8.6151,59.85,77,51,2.01
217,Poum,-20.2333,164.0167,77.74,59,100,13.56
218,Launceston,-41.45,147.1667,60.62,65,100,4.61
219,Cheremukhovo,60.3484,59.9851,56.19,47,7,7.47
220,Baruun-Urt,46.6806,113.2792,73.94,17,87,27.25
221,Bredasdorp,-34.5322,20.0403,54.0,81,100,4.27
222,Nakhon Thai,17.1006,100.8374,84.2,71,96,1.01
223,Ponnampet,12.15,75.9333,71.78,92,100,4.18
224,Eirunepe,-6.6603,-69.8736,70.81,97,10,1.99
225,Portel,-1.9356,-50.8211,73.62,98,100,1.7
226,Vryburg,-26.9566,24.7284,46.72,55,0,4.0
227,Shimoda,34.6667,138.95,64.76,70,29,13.04
228,Chokurdakh,70.6333,147.9167,25.2,88,98,12.26
229,Sorland,67.667,12.6934,40.86,95,100,12.55
230,Hami,42.8,93.45,78.4,22,21,7.16
231,Hearst,49.6835,-83.6665,53.85,54,100,4.99
232,Novobiryusinskiy,56.9578,97.7076,39.52,36,99,10.63
233,Saint-Pierre,-21.3393,55.4781,77.92,61,0,4.61
234,Clyde River,70.4692,-68.5914,21.43,93,100,25.32
235,Bairiki,1.3292,172.9752,84.2,79,20,13.8
236,Zvishavane,-20.3267,30.0665,60.21,68,12,2.95
237,Alofi,-19.0595,-169.9187,76.89,88,39,9.22
238,Sao Felix Do Xingu,-6.6447,-51.995,70.9,91,4,0.58
239,Ibra,22.6906,58.5334,87.24,24,0,4.25
240,Omboue,-1.5746,9.2618,76.8,93,75,5.5
241,Faanui,-16.4833,-151.75,82.33,73,15,11.56
242,Lompoc,34.6391,-120.4579,51.78,67,0,20.71
243,Bilibino,68.0546,166.4372,28.67,88,100,9.53
244,Guerrero,17.6667,-100.0,72.18,74,5,6.44
245,Alyangula,-13.8483,136.4192,86.31,67,23,11.9
246,Salalah,17.0151,54.0924,86.09,66,40,1.14
247,Talnakh,69.4865,88.3972,24.21,90,100,14.16
248,Del Monte,14.6418,121.0177,91.94,61,60,8.01
249,Roswell,34.0232,-84.3616,62.28,84,0,0.0
250,Dunedin,-45.8742,170.5036,55.8,80,97,4.0
251,Hualmay,-11.0964,-77.6139,64.65,91,52,7.36
252,Berlevag,70.8578,29.0864,33.8,80,100,17.27
253,Del Rio,29.3627,-100.8968,91.8,46,0,17.27
254,Faya,18.3851,42.4509,66.31,47,0,1.99
255,Chuy,-33.6971,-53.4616,56.25,93,0,5.86
256,Cidreira,-30.1811,-50.2056,64.44,84,0,11.56
257,Natal,-5.795,-35.2094,75.42,88,75,6.91
258,Rabo De Peixe,37.8,-25.5833,58.28,88,20,6.91
259,Thompson,55.7435,-97.8558,48.36,49,40,4.61
260,Beloha,-25.1667,45.05,69.3,83,23,0.36
261,Turkistan,43.0,68.0,81.5,29,28,18.12
262,Manta,-0.95,-80.7333,73.58,88,64,9.44
263,Gemena,3.25,19.7667,69.4,99,100,1.01
264,Nome,64.5011,-165.4064,32.16,93,100,23.02
265,Zhicheng,30.2956,111.5047,59.47,70,100,4.45
266,Acapulco,16.8634,-99.8901,78.62,83,40,5.75
267,Mayo,38.8876,-76.5119,49.98,81,0,8.05
268,Severo-Kurilsk,50.6789,156.125,37.81,97,100,15.75
269,Ola,59.5833,151.2833,48.15,65,100,15.52
270,Talcahuano,-36.7167,-73.1167,55.08,94,100,3.44
271,Havre-Saint-Pierre,50.2334,-63.5986,37.4,93,0,4.61
